V1,V2,V3,sci,common,kingdom,phylum,class,family,genus,header,order
Cluster 301,XP_006212709,805,Vicugna pacos,NA,Metazoa,Chordata,Mammalia,Camelidae,Vicugna,Vicugna pacos,Artiodactyla
Cluster 301,XP_006212709,805,Vicugna pacos,NA,Metazoa,Chordata,Mammalia,Camelidae,Vicugna,Vicugna pacos,Artiodactyla
Cluster 302,XP_026910297,805,Acinonyx jubatus,Cheetah,Metazoa,Chordata,Mammalia,Felidae,Acinonyx,Cheetah,Carnivora
Cluster 302,XP_026910299,744,Acinonyx jubatus,Cheetah,Metazoa,Chordata,Mammalia,Felidae,Acinonyx,Cheetah,Carnivora
Cluster 302,XP_026910297,805,Acinonyx jubatus,Cheetah,Metazoa,Chordata,Mammalia,Felidae,Acinonyx,Cheetah,Carnivora
Cluster 302,XP_026910297,805,Acinonyx jubatus,Cheetah,Metazoa,Chordata,Mammalia,Felidae,Acinonyx,Cheetah,Carnivora
Cluster 303,NP_001034545,805,Felis catus,Domestic Cat,Metazoa,Chordata,Mammalia,Felidae,Felis,Domestic Cat,Carnivora
Cluster 303,NP_001034545,805,Felis catus,Domestic Cat,Metazoa,Chordata,Mammalia,Felidae,Felis,Domestic Cat,Carnivora
Cluster 304,VFV30336,805,Lynx pardinus,Spanish lynx,Metazoa,Chordata,Mammalia,Felidae,Lynx,Spanish lynx,Carnivora
Cluster 305,XP_030160839,805,Lynx canadensis,Canadian Lynx,Metazoa,Chordata,Mammalia,Felidae,Lynx,Canadian Lynx,Carnivora
Cluster 305,XP_030160839,805,Lynx canadensis,Canadian Lynx,Metazoa,Chordata,Mammalia,Felidae,Lynx,Canadian Lynx,Carnivora
Cluster 305,ENSLCNP00005030881_L,805,Lynx canadensis,Canadian Lynx,Metazoa,Chordata,Mammalia,Felidae,Lynx,Canadian Lynx,Carnivora
Cluster 305,XP_030160839,805,Lynx canadensis,Canadian Lynx,Metazoa,Chordata,Mammalia,Felidae,Lynx,Canadian Lynx,Carnivora
Cluster 306,KAF0878287,805,Crocuta crocuta,Spotted Hyena,Metazoa,Chordata,Mammalia,Hyaenidae,Crocuta,Spotted Hyena,Carnivora
Cluster 307,XP_020935033,805,Sus scrofa,wild boar,Metazoa,Chordata,Mammalia,Suidae,Sus,wild boar,Artiodactyla
Cluster 307,ENSSSCP00000028755_S,805,Sus scrofa,wild boar,Metazoa,Chordata,Mammalia,Suidae,Sus,wild boar,Artiodactyla
Cluster 308,XP_029786256,805,Suricata suricatta,Meerkat,Metazoa,Chordata,Mammalia,Herpestidae,Suricata,Meerkat,Carnivora
Cluster 308,XP_029786256,805,Suricata suricatta,Meerkat,Metazoa,Chordata,Mammalia,Herpestidae,Suricata,Meerkat,Carnivora
Cluster 308,XP_029786256,805,Suricata suricatta,Meerkat,Metazoa,Chordata,Mammalia,Herpestidae,Suricata,Meerkat,Carnivora
Cluster 309,NP_001116542,805,Sus scrofa,wild boar,Metazoa,Chordata,Mammalia,Suidae,Sus,wild boar,Artiodactyla
Cluster 309,NP_001116542,805,Sus scrofa,wild boar,Metazoa,Chordata,Mammalia,Suidae,Sus,wild boar,Artiodactyla
Cluster 309,NP_001116542,805,Sus scrofa,wild boar,Metazoa,Chordata,Mammalia,Suidae,Sus,wild boar,Artiodactyla
Cluster 310,XP_006911709,805,Pteropus alecto,black flying fox,Metazoa,Chordata,Mammalia,Pteropodidae,Pteropus,black flying fox,Chiroptera
Cluster 310,XP_006911709,805,Pteropus alecto,black flying fox,Metazoa,Chordata,Mammalia,Pteropodidae,Pteropus,black flying fox,Chiroptera
Cluster 310,XP_006911709,805,Pteropus alecto,black flying fox,Metazoa,Chordata,Mammalia,Pteropodidae,Pteropus,black flying fox,Chiroptera
Cluster 311,ABU54053,805,Rhinolophus pearsonii,Pearson's horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Pearson's horseshoe bat,Chiroptera
Cluster 311,ABU54053,805,Rhinolophus pearsonii,Pearson's horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Pearson's horseshoe bat,Chiroptera
Cluster 312,XP_006164754,805,Tupaia chinensis,NA,Metazoa,Chordata,Mammalia,Tupaiidae,Tupaia,Tupaia chinensis,Scandentia
Cluster 312,XP_006164754,805,Tupaia chinensis,NA,Metazoa,Chordata,Mammalia,Tupaiidae,Tupaia,Tupaia chinensis,Scandentia
Cluster 312,XP_006164754,805,Tupaia chinensis,NA,Metazoa,Chordata,Mammalia,Tupaiidae,Tupaia,Tupaia chinensis,Scandentia
Cluster 313,ADN93471,805,Rhinolophus macrotis,big-eared horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,big-eared horseshoe bat,Chiroptera
Cluster 313,ADN93471,805,Rhinolophus macrotis,big-eared horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,big-eared horseshoe bat,Chiroptera
Cluster 314,ALJ94034,805,Rhinolophus landeri,Lander's horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Lander's horseshoe bat,Chiroptera
Cluster 314,ALJ94034,805,Rhinolophus landeri,Lander's horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Lander's horseshoe bat,Chiroptera
Cluster 315,ADN93475,805,Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Chinese Rufous Horseshoe Bat,Chiroptera
Cluster 315,ADN93475,805,Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Chinese Rufous Horseshoe Bat,Chiroptera
Cluster 316,ALJ94035,805,Rhinolophus alcyone,Halcyon horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Halcyon horseshoe bat,Chiroptera
Cluster 316,ALJ94035,805,Rhinolophus alcyone,Halcyon horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Halcyon horseshoe bat,Chiroptera
Cluster 317,ADN93470,805,Rhinolophus ferrumequinum,greater horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,greater horseshoe bat,Chiroptera
Cluster 318,ADN93472,805,Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Chinese Rufous Horseshoe Bat,Chiroptera
Cluster 319,ACM45790,805,Rhinolophus ferrumequinum,greater horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,greater horseshoe bat,Chiroptera
Cluster 320,ADJ19219,805,Rousettus leschenaultii,Leschenault's Rousette,Metazoa,Chordata,Mammalia,Pteropodidae,Rousettus,Leschenault's Rousette,Chiroptera
Cluster 321,BAF50705,805,Rousettus leschenaultii,Leschenault's Rousette,Metazoa,Chordata,Mammalia,Pteropodidae,Rousettus,Leschenault's Rousette,Chiroptera
Cluster 321,BAF50705,805,Rousettus leschenaultii,Leschenault's Rousette,Metazoa,Chordata,Mammalia,Pteropodidae,Rousettus,Leschenault's Rousette,Chiroptera
Cluster 322,XP_015974412,805,Rousettus aegyptiacus,Egyptian rousette,Metazoa,Chordata,Mammalia,Pteropodidae,Rousettus,Egyptian rousette,Chiroptera
Cluster 322,XP_015974412,805,Rousettus aegyptiacus,Egyptian rousette,Metazoa,Chordata,Mammalia,Pteropodidae,Rousettus,Egyptian rousette,Chiroptera
Cluster 322,XP_015974412,805,Rousettus aegyptiacus,Egyptian rousette,Metazoa,Chordata,Mammalia,Pteropodidae,Rousettus,Egyptian rousette,Chiroptera
Cluster 323,XP_008492997,805,Calypte anna,Anna's Hummingbird,Metazoa,Chordata,Aves,Trochilidae,Calypte,Anna's Hummingbird,Apodiformes
Cluster 323,XP_008492997,805,Calypte anna,Anna's Hummingbird,Metazoa,Chordata,Aves,Trochilidae,Calypte,Anna's Hummingbird,Apodiformes
Cluster 323,XP_008492997,805,Calypte anna,Anna's Hummingbird,Metazoa,Chordata,Aves,Trochilidae,Calypte,Anna's Hummingbird,Apodiformes
Cluster 324,XP_022523929,805,Astyanax mexicanus,sardinita mexicana,Metazoa,Chordata,Actinopteri,Characidae,Astyanax,sardinita mexicana,Characiformes
Cluster 324,XP_022523929,805,Astyanax mexicanus,sardinita mexicana,Metazoa,Chordata,Actinopteri,Characidae,Astyanax,sardinita mexicana,Characiformes
Cluster 324,ENSAMXP00000008703_A,805,Astyanax mexicanus,sardinita mexicana,Metazoa,Chordata,Actinopteri,Characidae,Astyanax,sardinita mexicana,Characiformes
Cluster 324,XP_022523929,805,Astyanax mexicanus,sardinita mexicana,Metazoa,Chordata,Actinopteri,Characidae,Astyanax,sardinita mexicana,Characiformes
Cluster 325,KAA0707616,805,Triplophysa tibetana,NA,Metazoa,Chordata,Actinopteri,Nemacheilidae,Triplophysa,Triplophysa tibetana,Cypriniformes
Cluster 326,XP_026867211,805,Electrophorus electricus,electric eel,Metazoa,Chordata,Actinopteri,Gymnotidae,Electrophorus,electric eel,Gymnotiformes
Cluster 326,XP_026867211,805,Electrophorus electricus,electric eel,Metazoa,Chordata,Actinopteri,Gymnotidae,Electrophorus,electric eel,Gymnotiformes
Cluster 327,XP_022063989,805,Acanthochromis polyacanthus,spotty-tail,Metazoa,Chordata,Actinopteri,Pomacentridae,Acanthochromis,spotty-tail,NA
Cluster 328,XP_029354067,805,Echeneis naucrates,sharksucker,Metazoa,Chordata,Actinopteri,Echeneidae,Echeneis,sharksucker,Carangiformes
Cluster 328,ENSENLP00000036071_E,805,Echeneis naucrates,sharksucker,Metazoa,Chordata,Actinopteri,Echeneidae,Echeneis,sharksucker,Carangiformes
Cluster 329,XP_002719891,805,Oryctolagus cuniculus,European Rabbit,Metazoa,Chordata,Mammalia,Leporidae,Oryctolagus,European Rabbit,Lagomorpha
Cluster 329,XP_002719891,805,Oryctolagus cuniculus,European Rabbit,Metazoa,Chordata,Mammalia,Leporidae,Oryctolagus,European Rabbit,Lagomorpha
Cluster 329,XP_002719891,805,Oryctolagus cuniculus,European Rabbit,Metazoa,Chordata,Mammalia,Leporidae,Oryctolagus,European Rabbit,Lagomorpha
Cluster 330,QHX39726,805,Oryctolagus cuniculus,European Rabbit,Metazoa,Chordata,Mammalia,Leporidae,Oryctolagus,European Rabbit,Lagomorpha
Cluster 331,XP_008542995,805,Equus przewalskii,Przewalski's horse,Metazoa,Chordata,Mammalia,Equidae,Equus,Przewalski's horse,Perissodactyla
Cluster 331,XP_008542995,805,Equus przewalskii,Przewalski's horse,Metazoa,Chordata,Mammalia,Equidae,Equus,Przewalski's horse,Perissodactyla
Cluster 331,XP_008542995,805,Equus przewalskii,Przewalski's horse,Metazoa,Chordata,Mammalia,Equidae,Equus,Przewalski's horse,Perissodactyla
Cluster 332,XP_001490241,805,Equus caballus,feral horse,Metazoa,Chordata,Mammalia,Equidae,Equus,feral horse,Perissodactyla
Cluster 332,XP_001490241,805,Equus caballus,feral horse,Metazoa,Chordata,Mammalia,Equidae,Equus,feral horse,Perissodactyla
Cluster 332,ENSECAP00000001752_E,805,Equus caballus,feral horse,Metazoa,Chordata,Mammalia,Equidae,Equus,feral horse,Perissodactyla
Cluster 332,XP_001490241,805,Equus caballus,feral horse,Metazoa,Chordata,Mammalia,Equidae,Equus,feral horse,Perissodactyla
Cluster 333,XP_004671523,805,Jaculus jaculus,Lesser Egyptian Jerboa,Metazoa,Chordata,Mammalia,Dipodidae,Jaculus,Lesser Egyptian Jerboa,Rodentia
Cluster 333,XP_004671523,805,Jaculus jaculus,Lesser Egyptian Jerboa,Metazoa,Chordata,Mammalia,Dipodidae,Jaculus,Lesser Egyptian Jerboa,Rodentia
Cluster 333,ENSJJAP00000000164_J,805,Jaculus jaculus,Lesser Egyptian Jerboa,Metazoa,Chordata,Mammalia,Dipodidae,Jaculus,Lesser Egyptian Jerboa,Rodentia
Cluster 333,XP_004671523,805,Jaculus jaculus,Lesser Egyptian Jerboa,Metazoa,Chordata,Mammalia,Dipodidae,Jaculus,Lesser Egyptian Jerboa,Rodentia
Cluster 334,XP_005074266,805,Mesocricetus auratus,Golden Hamster,Metazoa,Chordata,Mammalia,Cricetidae,Mesocricetus,Golden Hamster,Rodentia
Cluster 334,XP_005074266,805,Mesocricetus auratus,Golden Hamster,Metazoa,Chordata,Mammalia,Cricetidae,Mesocricetus,Golden Hamster,Rodentia
Cluster 334,ENSMAUP00000016335_M,805,Mesocricetus auratus,Golden Hamster,Metazoa,Chordata,Mammalia,Cricetidae,Mesocricetus,Golden Hamster,Rodentia
Cluster 334,XP_005074266,805,Mesocricetus auratus,Golden Hamster,Metazoa,Chordata,Mammalia,Cricetidae,Mesocricetus,Golden Hamster,Rodentia
Cluster 335,XP_004435206,805,Ceratotherium simum simum,NA,Metazoa,Chordata,Mammalia,Rhinocerotidae,Ceratotherium,Ceratotherium simum simum,Perissodactyla
Cluster 335,XP_004435206,805,Ceratotherium simum simum,NA,Metazoa,Chordata,Mammalia,Rhinocerotidae,Ceratotherium,Ceratotherium simum simum,Perissodactyla
Cluster 335,XP_004435206,805,Ceratotherium simum simum,NA,Metazoa,Chordata,Mammalia,Rhinocerotidae,Ceratotherium,Ceratotherium simum simum,Perissodactyla
Cluster 336,XP_003503283,805,Cricetulus griseus,NA,Metazoa,Chordata,Mammalia,Cricetidae,Cricetulus,Cricetulus griseus,Rodentia
Cluster 336,XP_003503283,805,Cricetulus griseus,NA,Metazoa,Chordata,Mammalia,Cricetidae,Cricetulus,Cricetulus griseus,Rodentia
Cluster 336,ENSCGRP00001000071_C,805,NA,NA,NA,NA,NA,NA,NA,ENSCGRP00001000071_C,NA
Cluster 336,ENSCGRP00000024673_C,805,NA,NA,NA,NA,NA,NA,NA,ENSCGRP00000024673_C,NA
Cluster 336,XP_003503283,805,Cricetulus griseus,NA,Metazoa,Chordata,Mammalia,Cricetidae,Cricetulus,Cricetulus griseus,Rodentia
Cluster 337,XP_027288607,805,Cricetulus griseus,NA,Metazoa,Chordata,Mammalia,Cricetidae,Cricetulus,Cricetulus griseus,Rodentia
Cluster 337,ENSCGRP00015020600_C,805,Cricetulus griseus,NA,Metazoa,Chordata,Mammalia,Cricetidae,Cricetulus,Cricetulus griseus,Rodentia
Cluster 338,XP_012887572,805,Dipodomys ordii,Rata-canguro común,Metazoa,Chordata,Mammalia,Heteromyidae,Dipodomys,Rata-canguro común,Rodentia
Cluster 338,XP_012887572,805,Dipodomys ordii,Rata-canguro común,Metazoa,Chordata,Mammalia,Heteromyidae,Dipodomys,Rata-canguro común,Rodentia
Cluster 338,ENSDORP00000012777_D,805,Dipodomys ordii,Rata-canguro común,Metazoa,Chordata,Mammalia,Heteromyidae,Dipodomys,Rata-canguro común,Rodentia
Cluster 338,XP_012887572,805,Dipodomys ordii,Rata-canguro común,Metazoa,Chordata,Mammalia,Heteromyidae,Dipodomys,Rata-canguro común,Rodentia
Cluster 339,XP_006973269,805,Peromyscus maniculatus bairdii,NA,Metazoa,Chordata,Mammalia,Cricetidae,Peromyscus,Peromyscus maniculatus bairdii,Rodentia
Cluster 339,XP_006973269,805,Peromyscus maniculatus bairdii,NA,Metazoa,Chordata,Mammalia,Cricetidae,Peromyscus,Peromyscus maniculatus bairdii,Rodentia
Cluster 339,ENSPEMP00000017679_P,805,Peromyscus maniculatus bairdii,NA,Metazoa,Chordata,Mammalia,Cricetidae,Peromyscus,Peromyscus maniculatus bairdii,Rodentia
Cluster 339,XP_006973269,805,Peromyscus maniculatus bairdii,NA,Metazoa,Chordata,Mammalia,Cricetidae,Peromyscus,Peromyscus maniculatus bairdii,Rodentia
Cluster 340,XP_021043935,805,Mus pahari,Indochinese Shrewlike Mouse,Metazoa,Chordata,Mammalia,Muridae,Mus,Indochinese Shrewlike Mouse,Rodentia
Cluster 340,XP_021043935,805,Mus pahari,Indochinese Shrewlike Mouse,Metazoa,Chordata,Mammalia,Muridae,Mus,Indochinese Shrewlike Mouse,Rodentia
Cluster 340,MGP_P,805,Mpah,NA,NA,NA,NA,NA,NA,Mpah,NA
Cluster 340,XP_021043935,805,Mus pahari,Indochinese Shrewlike Mouse,Metazoa,Chordata,Mammalia,Muridae,Mus,Indochinese Shrewlike Mouse,Rodentia
Cluster 341,XP_028743609,805,Peromyscus leucopus,souris à pattes blanches,Metazoa,Chordata,Mammalia,Cricetidae,Peromyscus,souris à pattes blanches,Rodentia
Cluster 341,XP_028743609,805,Peromyscus leucopus,souris à pattes blanches,Metazoa,Chordata,Mammalia,Cricetidae,Peromyscus,souris à pattes blanches,Rodentia
Cluster 341,XP_028743609,805,Peromyscus leucopus,souris à pattes blanches,Metazoa,Chordata,Mammalia,Cricetidae,Peromyscus,souris à pattes blanches,Rodentia
Cluster 342,XP_017505746,805,Manis javanica,Sunda Pangolin,Metazoa,Chordata,Mammalia,Manidae,Manis,Sunda Pangolin,Pholidota
Cluster 342,XP_017505746,805,Manis javanica,Sunda Pangolin,Metazoa,Chordata,Mammalia,Manidae,Manis,Sunda Pangolin,Pholidota
Cluster 342,XP_017505746,805,Manis javanica,Sunda Pangolin,Metazoa,Chordata,Mammalia,Manidae,Manis,Sunda Pangolin,Pholidota
Cluster 343,XP_021009138,805,Mus caroli,Ryukyu Mouse,Metazoa,Chordata,Mammalia,Muridae,Mus,Ryukyu Mouse,Rodentia
Cluster 343,XP_021009138,805,Mus caroli,Ryukyu Mouse,Metazoa,Chordata,Mammalia,Muridae,Mus,Ryukyu Mouse,Rodentia
Cluster 343,MGP_CAROLIE,805,Mcar,NA,NA,NA,NA,NA,NA,Mcar,NA
Cluster 343,XP_021009138,805,Mus caroli,Ryukyu Mouse,Metazoa,Chordata,Mammalia,Muridae,Mus,Ryukyu Mouse,Rodentia
Cluster 344,NP_001123985,805,Mus musculus,souris commune,Metazoa,Chordata,Mammalia,Muridae,Mus,souris commune,Rodentia
Cluster 344,NP_081562,805,Mus musculus,souris commune,Metazoa,Chordata,Mammalia,Muridae,Mus,souris commune,Rodentia
Cluster 344,ENSMUSP00000107890_M,805,Mus musculus,souris commune,Metazoa,Chordata,Mammalia,Muridae,Mus,souris commune,Rodentia
Cluster 344,NP_081562,805,Mus musculus,souris commune,Metazoa,Chordata,Mammalia,Muridae,Mus,souris commune,Rodentia
Cluster 345,NP_001012006,805,Rattus norvegicus,rat surmulot,Metazoa,Chordata,Mammalia,Muridae,Rattus,rat surmulot,Rodentia
Cluster 345,NP_001012006,805,Rattus norvegicus,rat surmulot,Metazoa,Chordata,Mammalia,Muridae,Rattus,rat surmulot,Rodentia
Cluster 345,NP_001012006,805,Rattus norvegicus,rat surmulot,Metazoa,Chordata,Mammalia,Muridae,Rattus,rat surmulot,Rodentia
Cluster 346,XP_032963186,805,Rhinolophus ferrumequinum,greater horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,greater horseshoe bat,Chiroptera
Cluster 346,XP_032963186,805,Rhinolophus ferrumequinum,greater horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,greater horseshoe bat,Chiroptera
Cluster 346,ENSRFEP00010019187_R,805,Rhinolophus ferrumequinum,greater horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,greater horseshoe bat,Chiroptera
Cluster 347,BAH02663,805,Rhinolophus ferrumequinum,greater horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,greater horseshoe bat,Chiroptera
Cluster 348,AGZ48803,805,Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Chinese Rufous Horseshoe Bat,Chiroptera
Cluster 349,ADN93477,805,Rhinolophus pusillus,least horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,least horseshoe bat,Chiroptera
Cluster 349,ADN93477,805,Rhinolophus pusillus,least horseshoe bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,least horseshoe bat,Chiroptera
Cluster 350,ACT66275,805,Rhinolophus sinicus,Chinese Rufous Horseshoe Bat,Metazoa,Chordata,Mammalia,Rhinolophidae,Rhinolophus,Chinese Rufous Horseshoe Bat,Chiroptera
Cluster 351,XP_032058386,805,Aythya fuligula,Tufted Duck,Metazoa,Chordata,Aves,Anatidae,Aythya,Tufted Duck,Anseriformes
Cluster 351,XP_032058386,805,Aythya fuligula,Tufted Duck,Metazoa,Chordata,Aves,Anatidae,Aythya,Tufted Duck,Anseriformes
Cluster 351,XP_032058386,805,Aythya fuligula,Tufted Duck,Metazoa,Chordata,Aves,Anatidae,Aythya,Tufted Duck,Anseriformes
Cluster 352,QFX67703,805,Tadorna cana,South African Shelduck,Metazoa,Chordata,Aves,Anatidae,Tadorna,South African Shelduck,Anseriformes
Cluster 353,XP_013039300,805,Anser cygnoides domesticus,NA,Metazoa,Chordata,Aves,Anatidae,Anser,Anser cygnoides domesticus,Anseriformes
Cluster 353,XP_013039300,805,Anser cygnoides domesticus,NA,Metazoa,Chordata,Aves,Anatidae,Anser,Anser cygnoides domesticus,Anseriformes
Cluster 353,XP_013039300,805,Anser cygnoides domesticus,NA,Metazoa,Chordata,Aves,Anatidae,Anser,Anser cygnoides domesticus,Anseriformes
Cluster 354,EOB05299,805,Anas platyrhynchos,Pato de collar,Metazoa,Chordata,Aves,Anatidae,Anas,Pato de collar,Anseriformes
Cluster 355,XP_012949915,805,Anas platyrhynchos,Pato de collar,Metazoa,Chordata,Aves,Anatidae,Anas,Pato de collar,Anseriformes
Cluster 355,XP_012949915,805,Anas platyrhynchos,Pato de collar,Metazoa,Chordata,Aves,Anatidae,Anas,Pato de collar,Anseriformes
Cluster 355,XP_012949915,805,Anas platyrhynchos,Pato de collar,Metazoa,Chordata,Aves,Anatidae,Anas,Pato de collar,Anseriformes
Cluster 356,XP_019350687,805,Alligator mississippiensis,American Alligator,Metazoa,Chordata,NA,Alligatoridae,Alligator,American Alligator,Crocodylia
Cluster 356,XP_019350687,805,Alligator mississippiensis,American Alligator,Metazoa,Chordata,NA,Alligatoridae,Alligator,American Alligator,Crocodylia
Cluster 356,XP_019350687,805,Alligator mississippiensis,American Alligator,Metazoa,Chordata,NA,Alligatoridae,Alligator,American Alligator,Crocodylia
Cluster 357,XP_015808977,805,Nothobranchius furzeri,NA,Metazoa,Chordata,Actinopteri,Nothobranchiidae,Nothobranchius,Nothobranchius furzeri,Cyprinodontiformes
Cluster 357,XP_015808977,805,Nothobranchius furzeri,NA,Metazoa,Chordata,Actinopteri,Nothobranchiidae,Nothobranchius,Nothobranchius furzeri,Cyprinodontiformes
Cluster 357,XP_015808977,805,Nothobranchius furzeri,NA,Metazoa,Chordata,Actinopteri,Nothobranchiidae,Nothobranchius,Nothobranchius furzeri,Cyprinodontiformes
Cluster 358,XP_026803610,805,Pangasianodon hypophthalmus,NA,Metazoa,Chordata,Actinopteri,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus,Siluriformes
Cluster 358,XP_026803610,805,Pangasianodon hypophthalmus,NA,Metazoa,Chordata,Actinopteri,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus,Siluriformes
Cluster 358,XP_026803610,805,Pangasianodon hypophthalmus,NA,Metazoa,Chordata,Actinopteri,Pangasiidae,Pangasianodon,Pangasianodon hypophthalmus,Siluriformes
Cluster 359,XP_017313836,805,Ictalurus punctatus,channel catfish,Metazoa,Chordata,Actinopteri,Ictaluridae,Ictalurus,channel catfish,Siluriformes
Cluster 359,XP_017313836,805,Ictalurus punctatus,channel catfish,Metazoa,Chordata,Actinopteri,Ictaluridae,Ictalurus,channel catfish,Siluriformes
Cluster 359,ENSIPUP00000021362_I,805,Ictalurus punctatus,channel catfish,Metazoa,Chordata,Actinopteri,Ictaluridae,Ictalurus,channel catfish,Siluriformes
Cluster 359,XP_017313836,805,Ictalurus punctatus,channel catfish,Metazoa,Chordata,Actinopteri,Ictaluridae,Ictalurus,channel catfish,Siluriformes
Cluster 360,XP_019742561,805,Hippocampus comes,NA,Metazoa,Chordata,Actinopteri,Syngnathidae,Hippocampus,Hippocampus comes,Syngnathiformes
Cluster 360,XP_019742561,805,Hippocampus comes,NA,Metazoa,Chordata,Actinopteri,Syngnathidae,Hippocampus,Hippocampus comes,Syngnathiformes
Cluster 360,XP_019742561,805,Hippocampus comes,NA,Metazoa,Chordata,Actinopteri,Syngnathidae,Hippocampus,Hippocampus comes,Syngnathiformes
Cluster 361,XP_023679669,805,Paramormyrops kingsleyae,NA,Metazoa,Chordata,Actinopteri,Mormyridae,Paramormyrops,Paramormyrops kingsleyae,Osteoglossiformes
Cluster 361,XP_023679669,805,Paramormyrops kingsleyae,NA,Metazoa,Chordata,Actinopteri,Mormyridae,Paramormyrops,Paramormyrops kingsleyae,Osteoglossiformes
Cluster 361,XP_023679669,805,Paramormyrops kingsleyae,NA,Metazoa,Chordata,Actinopteri,Mormyridae,Paramormyrops,Paramormyrops kingsleyae,Osteoglossiformes
Cluster 362,XP_026333865,805,Ursus arctos horribilis,brown bear,Metazoa,Chordata,Mammalia,Ursidae,Ursus,brown bear,Carnivora
Cluster 362,XP_026333865,805,Ursus arctos horribilis,brown bear,Metazoa,Chordata,Mammalia,Ursidae,Ursus,brown bear,Carnivora
Cluster 362,XP_026333865,805,Ursus arctos horribilis,brown bear,Metazoa,Chordata,Mammalia,Ursidae,Ursus,brown bear,Carnivora
Cluster 363,XP_002930657,805,Ailuropoda melanoleuca,Giant Panda,Metazoa,Chordata,Mammalia,Ursidae,Ailuropoda,Giant Panda,Carnivora
Cluster 363,XP_034505781,705,Ailuropoda melanoleuca,Giant Panda,Metazoa,Chordata,Mammalia,Ursidae,Ailuropoda,Giant Panda,Carnivora
Cluster 363,XP_002930657,805,Ailuropoda melanoleuca,Giant Panda,Metazoa,Chordata,Mammalia,Ursidae,Ailuropoda,Giant Panda,Carnivora
Cluster 364,XP_032187677,805,Mustela erminea,Ermine,Metazoa,Chordata,Mammalia,Mustelidae,Mustela,Ermine,Carnivora
Cluster 364,XP_032187677,805,Mustela erminea,Ermine,Metazoa,Chordata,Mammalia,Mustelidae,Mustela,Ermine,Carnivora
Cluster 364,XP_032187677,805,Mustela erminea,Ermine,Metazoa,Chordata,Mammalia,Mustelidae,Mustela,Ermine,Carnivora
Cluster 365,XP_028617961,805,Grammomys surdaster,NA,Metazoa,Chordata,Mammalia,Muridae,Grammomys,Grammomys surdaster,Rodentia
Cluster 365,XP_028617961,805,Grammomys surdaster,NA,Metazoa,Chordata,Mammalia,Muridae,Grammomys,Grammomys surdaster,Rodentia
Cluster 365,XP_028617961,805,Grammomys surdaster,NA,Metazoa,Chordata,Mammalia,Muridae,Grammomys,Grammomys surdaster,Rodentia
Cluster 366,XP_022374078,805,Enhydra lutris kenyoni,northern sea otter,Metazoa,Chordata,Mammalia,Mustelidae,Enhydra,northern sea otter,Carnivora
Cluster 366,XP_022374078,805,Enhydra lutris kenyoni,northern sea otter,Metazoa,Chordata,Mammalia,Mustelidae,Enhydra,northern sea otter,Carnivora
Cluster 366,XP_022374078,805,Enhydra lutris kenyoni,northern sea otter,Metazoa,Chordata,Mammalia,Mustelidae,Enhydra,northern sea otter,Carnivora
Cluster 367,BAE72462,805,Procyon lotor,Raccoon,Metazoa,Chordata,Mammalia,Procyonidae,Procyon,Raccoon,Carnivora
Cluster 368,XP_022374079,805,Enhydra lutris kenyoni,northern sea otter,Metazoa,Chordata,Mammalia,Mustelidae,Enhydra,northern sea otter,Carnivora
Cluster 369,XP_032245506,805,Phoca vitulina,Harbor Seal,Metazoa,Chordata,Mammalia,Phocidae,Phoca,Harbor Seal,Carnivora
